listing_id,Count,new_date
37004,30,2019-04-01
37004,31,2019-05-01
37004,30,2019-06-01
37004,31,2019-07-01
37004,31,2019-08-01
37004,30,2019-09-01
37004,31,2019-10-01
37004,6,2019-11-01
37052,7,2018-12-01
37052,18,2019-01-01
37836,1,2018-11-01
37836,25,2019-01-01
37836,28,2019-02-01
37836,31,2019-03-01
37836,30,2019-04-01
37836,5,2019-05-01
38074,1,2019-03-01
38074,30,2019-04-01
38074,31,2019-05-01
38074,30,2019-06-01
38074,31,2019-07-01
38074,31,2019-08-01
38074,30,2019-09-01
38074,31,2019-10-01
38074,6,2019-11-01
38296,31,2019-01-01
38296,28,2019-02-01
38296,31,2019-03-01
38296,30,2019-04-01
38296,31,2019-05-01
38296,30,2019-06-01
38296,31,2019-07-01
38296,31,2019-08-01
38296,30,2019-09-01
38296,31,2019-10-01
38296,6,2019-11-01
42742,1,2019-01-01
42742,26,2019-04-01
42742,31,2019-05-01
42742,30,2019-06-01
42742,31,2019-07-01
42742,31,2019-08-01
42742,30,2019-09-01
42742,31,2019-10-01
42742,6,2019-11-01
42809,6,2018-11-01
42809,5,2018-12-01
42809,30,2019-01-01
42809,15,2019-02-01
42809,20,2019-03-01
42809,24,2019-04-01
42809,31,2019-05-01
42809,30,2019-06-01
42809,31,2019-07-01
42809,26,2019-08-01
42809,30,2019-09-01
42809,31,2019-10-01
42809,6,2019-11-01
43123,27,2019-05-01
43123,30,2019-06-01
43123,31,2019-07-01
43123,31,2019-08-01
43123,30,2019-09-01
43123,31,2019-10-01
43123,6,2019-11-01
44083,17,2018-11-01
44083,13,2018-12-01
44083,31,2019-01-01
44083,4,2019-02-01
44423,20,2018-11-01
44423,11,2018-12-01
44423,1,2019-05-01
46172,13,2019-02-01
46172,31,2019-03-01
46172,30,2019-04-01
46172,31,2019-05-01
46172,30,2019-06-01
46172,31,2019-07-01
46172,31,2019-08-01
46172,30,2019-09-01
46172,31,2019-10-01
46172,6,2019-11-01
47938,2,2018-12-01
47938,1,2019-01-01
47938,28,2019-02-01
47938,1,2019-03-01
48955,31,2019-07-01
48955,31,2019-08-01
48955,30,2019-09-01
48955,31,2019-10-01
48955,6,2019-11-01
54952,7,2018-11-01
54952,23,2018-12-01
54952,3,2019-01-01
55298,24,2018-11-01
55298,31,2018-12-01
55298,31,2019-01-01
55298,28,2019-02-01
55298,31,2019-03-01
55298,30,2019-04-01
55298,31,2019-05-01
55298,30,2019-06-01
55298,31,2019-07-01
55298,31,2019-08-01
55298,30,2019-09-01
55298,31,2019-10-01
55298,6,2019-11-01
55455,30,2019-09-01
55455,31,2019-10-01
55455,6,2019-11-01
55853,5,2018-11-01
55853,1,2019-01-01
55853,28,2019-02-01
55853,31,2019-03-01
55853,30,2019-04-01
55853,31,2019-05-01
55853,30,2019-06-01
55853,31,2019-07-01
55853,31,2019-08-01
55853,30,2019-09-01
55853,31,2019-10-01
55853,6,2019-11-01
57049,2,2019-02-01
57049,31,2019-03-01
57049,30,2019-04-01
57049,5,2019-05-01
57209,4,2018-11-01
57209,7,2018-12-01
57209,22,2019-01-01
57209,16,2019-02-01
57209,23,2019-03-01
57209,28,2019-04-01
57209,9,2019-05-01
57209,26,2019-06-01
57209,31,2019-07-01
57209,31,2019-08-01
57209,30,2019-09-01
57209,31,2019-10-01
57209,6,2019-11-01
58041,11,2018-11-01
58041,31,2018-12-01
58041,31,2019-01-01
58041,28,2019-02-01
58041,31,2019-03-01
58041,30,2019-04-01
58041,31,2019-05-01
58041,30,2019-06-01
58041,31,2019-07-01
58041,31,2019-08-01
58041,30,2019-09-01
58041,31,2019-10-01
58041,6,2019-11-01
58780,1,2018-12-01
58780,4,2019-01-01
58780,7,2019-02-01
58780,14,2019-04-01
58780,26,2019-05-01
58780,30,2019-06-01
58780,31,2019-07-01
58780,31,2019-08-01
58780,30,2019-09-01
58780,31,2019-10-01
58780,6,2019-11-01
59249,9,2018-11-01
59249,8,2018-12-01
59249,6,2019-01-01
59249,28,2019-02-01
59249,2,2019-03-01
59249,25,2019-06-01
59249,4,2019-08-01
59249,30,2019-09-01
59249,31,2019-10-01
59249,6,2019-11-01
60161,23,2018-11-01
60161,28,2018-12-01
60161,31,2019-01-01
60161,4,2019-02-01
63052,6,2018-11-01
63052,31,2018-12-01
63052,31,2019-01-01
63052,28,2019-02-01
63052,31,2019-03-01
63052,30,2019-04-01
63052,31,2019-05-01
63052,30,2019-06-01
63052,31,2019-07-01
63052,31,2019-08-01
63052,30,2019-09-01
63052,31,2019-10-01
63052,6,2019-11-01
63468,4,2018-11-01
63468,18,2018-12-01
63468,26,2019-01-01
63468,28,2019-02-01
63468,27,2019-03-01
63468,30,2019-04-01
63468,31,2019-05-01
63468,30,2019-06-01
63468,31,2019-07-01
63468,31,2019-08-01
63468,30,2019-09-01
63468,31,2019-10-01
63468,6,2019-11-01
64245,29,2019-01-01
64245,28,2019-02-01
64245,31,2019-03-01
64245,30,2019-04-01
64245,5,2019-05-01
68142,3,2018-11-01
68142,13,2018-12-01
68142,7,2019-01-01
68142,30,2019-04-01
68142,5,2019-05-01
68448,12,2018-11-01
68448,10,2018-12-01
68448,17,2019-01-01
68448,28,2019-02-01
68448,31,2019-03-01
68448,27,2019-04-01
68448,31,2019-05-01
68448,30,2019-06-01
68448,31,2019-07-01
68448,31,2019-08-01
68448,30,2019-09-01
68448,31,2019-10-01
68448,6,2019-11-01
72079,18,2018-11-01
72079,25,2018-12-01
72079,27,2019-01-01
72079,28,2019-02-01
72079,31,2019-03-01
72079,30,2019-04-01
72079,31,2019-05-01
72079,30,2019-06-01
72079,31,2019-07-01
72079,31,2019-08-01
72079,30,2019-09-01
72079,31,2019-10-01
72079,6,2019-11-01
73302,2,2018-12-01
73302,23,2019-01-01
73302,20,2019-02-01
73302,28,2019-03-01
73302,22,2019-04-01
73302,24,2019-05-01
73302,26,2019-06-01
73302,30,2019-07-01
73302,3,2019-08-01
74614,23,2018-11-01
74614,27,2018-12-01
74614,30,2019-01-01
74614,28,2019-02-01
74614,31,2019-03-01
74614,30,2019-04-01
74614,31,2019-05-01
74614,30,2019-06-01
74614,31,2019-07-01
74614,31,2019-08-01
74614,30,2019-09-01
74614,31,2019-10-01
74614,6,2019-11-01
80843,16,2018-11-01
80843,12,2018-12-01
81049,6,2018-11-01
81049,6,2018-12-01
81049,29,2019-01-01
81049,20,2019-02-01
81049,31,2019-03-01
81049,26,2019-04-01
81049,24,2019-05-01
81049,19,2019-06-01
81049,31,2019-07-01
81049,31,2019-08-01
81049,26,2019-09-01
81049,31,2019-10-01
81049,6,2019-11-01
81081,7,2018-11-01
81081,5,2018-12-01
81081,1,2019-01-01
81081,25,2019-02-01
81081,31,2019-03-01
82893,1,2018-11-01
82893,6,2018-12-01
82893,11,2019-01-01
82893,17,2019-04-01
82893,31,2019-05-01
82893,30,2019-06-01
82893,31,2019-07-01
82893,31,2019-08-01
82893,30,2019-09-01
82893,31,2019-10-01
82893,6,2019-11-01
83183,3,2018-11-01
83183,4,2018-12-01
83183,23,2019-01-01
83183,16,2019-02-01
83183,26,2019-03-01
83183,12,2019-04-01
83183,31,2019-05-01
83183,26,2019-06-01
83183,18,2019-07-01
83183,27,2019-08-01
83183,30,2019-09-01
83183,30,2019-10-01
83183,3,2019-11-01
83568,2,2018-11-01
83568,8,2018-12-01
83568,31,2019-07-01
83568,31,2019-08-01
83568,30,2019-09-01
83568,31,2019-10-01
83568,6,2019-11-01
83614,13,2018-11-01
83614,8,2018-12-01
83614,28,2019-01-01
83614,25,2019-02-01
83614,31,2019-03-01
83614,28,2019-04-01
83614,31,2019-05-01
83614,30,2019-06-01
83614,31,2019-07-01
83614,31,2019-08-01
83614,30,2019-09-01
83614,31,2019-10-01
83614,6,2019-11-01
85560,7,2018-11-01
85560,14,2018-12-01
85560,28,2019-01-01
85560,28,2019-02-01
85560,31,2019-03-01
85560,30,2019-04-01
85560,31,2019-05-01
85560,30,2019-06-01
85560,31,2019-07-01
85560,31,2019-08-01
85560,30,2019-09-01
85560,31,2019-10-01
85560,6,2019-11-01
86514,24,2018-11-01
86514,31,2018-12-01
86514,31,2019-01-01
86514,28,2019-02-01
86514,31,2019-03-01
86514,30,2019-04-01
86514,31,2019-05-01
86514,30,2019-06-01
86514,31,2019-07-01
86514,31,2019-08-01
86514,30,2019-09-01
86514,31,2019-10-01
86514,6,2019-11-01
87549,9,2018-11-01
87549,18,2018-12-01
87549,30,2019-01-01
87549,28,2019-02-01
87549,31,2019-03-01
87549,30,2019-04-01
87549,31,2019-05-01
87549,30,2019-06-01
87549,31,2019-07-01
87549,31,2019-08-01
87549,30,2019-09-01
87549,31,2019-10-01
87549,6,2019-11-01
89102,14,2018-12-01
89102,6,2019-01-01
89102,1,2019-02-01
89102,21,2019-08-01
89102,30,2019-09-01
89102,31,2019-10-01
89102,6,2019-11-01
91290,1,2019-05-01
91290,1,2019-09-01
106290,1,2018-11-01
106290,5,2018-12-01
106290,30,2019-01-01
106290,28,2019-02-01
106290,31,2019-03-01
106290,30,2019-04-01
106290,31,2019-05-01
106290,30,2019-06-01
106290,31,2019-07-01
106290,31,2019-08-01
106290,30,2019-09-01
106290,31,2019-10-01
106290,6,2019-11-01
106331,9,2018-12-01
106331,31,2019-01-01
106331,28,2019-02-01
106331,31,2019-03-01
106331,30,2019-04-01
106331,31,2019-05-01
106331,30,2019-06-01
106331,31,2019-07-01
106331,31,2019-08-01
106331,30,2019-09-01
106331,31,2019-10-01
106331,6,2019-11-01
107968,22,2018-11-01
107968,31,2018-12-01
107968,31,2019-01-01
107968,28,2019-02-01
107968,31,2019-03-01
107968,30,2019-04-01
107968,31,2019-05-01
107968,30,2019-06-01
107968,31,2019-07-01
107968,31,2019-08-01
107968,30,2019-09-01
107968,31,2019-10-01
107968,6,2019-11-01
109658,9,2018-11-01
109658,19,2018-12-01
109658,7,2019-01-01
109658,11,2019-04-01
109658,31,2019-05-01
109658,30,2019-06-01
109658,31,2019-07-01
109658,31,2019-08-01
109658,30,2019-09-01
109658,31,2019-10-01
109658,6,2019-11-01
111579,4,2019-04-01
111579,31,2019-05-01
111579,30,2019-06-01
111579,31,2019-07-01
111579,31,2019-08-01
111579,30,2019-09-01
111579,31,2019-10-01
111579,6,2019-11-01
114763,8,2018-11-01
114763,1,2018-12-01
114763,11,2019-01-01
114763,11,2019-02-01
114763,14,2019-03-01
114763,9,2019-04-01
114763,10,2019-05-01
114763,18,2019-06-01
114763,13,2019-07-01
114763,20,2019-08-01
114763,25,2019-09-01
115576,24,2018-11-01
115576,17,2018-12-01
115576,30,2019-01-01
115576,28,2019-02-01
115576,31,2019-03-01
115576,30,2019-04-01
115576,31,2019-05-01
115576,29,2019-06-01
115576,26,2019-07-01
115576,31,2019-08-01
115576,30,2019-09-01
115576,31,2019-10-01
115576,6,2019-11-01
116832,31,2019-01-01
116832,28,2019-02-01
116832,31,2019-03-01
116832,30,2019-04-01
116832,31,2019-05-01
116832,30,2019-06-01
116832,31,2019-07-01
116832,31,2019-08-01
116832,30,2019-09-01
116832,31,2019-10-01
116832,6,2019-11-01
117649,14,2018-11-01
117649,1,2019-02-01
117649,31,2019-03-01
117649,30,2019-04-01
117649,31,2019-05-01
117649,30,2019-06-01
117649,31,2019-07-01
117649,31,2019-08-01
117649,30,2019-09-01
117649,31,2019-10-01
117649,6,2019-11-01
125349,17,2018-11-01
125349,20,2018-12-01
125349,30,2019-01-01
125349,28,2019-02-01
125349,31,2019-03-01
125349,27,2019-04-01
125349,31,2019-05-01
125349,27,2019-06-01
125349,31,2019-07-01
125349,31,2019-08-01
125349,30,2019-09-01
125349,31,2019-10-01
125349,6,2019-11-01
127708,15,2018-12-01
127708,22,2019-01-01
127708,25,2019-02-01
127708,27,2019-03-01
127708,26,2019-04-01
127708,29,2019-05-01
127708,22,2019-06-01
127708,31,2019-07-01
127708,31,2019-08-01
127708,30,2019-09-01
127708,31,2019-10-01
127708,6,2019-11-01
128827,26,2019-01-01
128827,28,2019-02-01
128827,28,2019-03-01
128827,30,2019-04-01
128827,31,2019-05-01
128827,30,2019-06-01
128827,31,2019-07-01
128827,31,2019-08-01
128827,30,2019-09-01
128827,31,2019-10-01
128827,6,2019-11-01
135097,1,2018-11-01
135097,2,2018-12-01
135097,23,2019-01-01
135097,20,2019-02-01
135097,31,2019-03-01
135097,12,2019-04-01
135097,26,2019-05-01
135097,27,2019-06-01
135097,25,2019-07-01
135097,31,2019-08-01
135097,4,2019-09-01
139769,2,2018-11-01
139769,11,2018-12-01
139769,30,2019-01-01
139769,28,2019-02-01
139769,31,2019-03-01
139769,30,2019-04-01
139769,31,2019-05-01
139769,30,2019-06-01
139769,31,2019-07-01
139769,31,2019-08-01
139769,30,2019-09-01
139769,31,2019-10-01
139769,6,2019-11-01
143605,2,2018-11-01
143605,31,2019-01-01
143605,28,2019-02-01
143605,31,2019-03-01
143605,30,2019-04-01
143605,31,2019-05-01
143605,30,2019-06-01
143605,31,2019-07-01
143605,31,2019-08-01
143605,30,2019-09-01
143605,31,2019-10-01
143605,6,2019-11-01
145249,17,2018-12-01
145249,29,2019-01-01
145249,4,2019-02-01
147946,14,2018-12-01
147946,31,2019-01-01
147946,28,2019-02-01
147946,31,2019-03-01
147946,30,2019-04-01
147946,31,2019-05-01
147946,30,2019-06-01
147946,31,2019-07-01
147946,31,2019-08-01
147946,30,2019-09-01
147946,31,2019-10-01
147946,6,2019-11-01
149849,8,2018-12-01
149849,26,2019-01-01
149849,9,2019-02-01
149849,4,2019-03-01
149849,31,2019-10-01
149849,6,2019-11-01
151249,9,2018-11-01
151249,23,2018-12-01
151249,31,2019-01-01
