id,harvesine_distance,host_response_rate,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people
115576,5978.42063932338,0.88,65.0,69.00,425.00,,,45.00,15.00
116832,5968.7435192898065,,969.0,75.00,,,250.00,20.00,0.00
117649,5970.6182245846985,,388.0,68.00,405.00,1428.00,,25.00,20.00
121888,5972.965771348822,,,125.00,325.00,2000.00,,40.00,10.00
125349,5969.196030263294,1.0,,70.00,430.00,1500.00,,25.00,0.00
127708,5972.088475793956,,,89.00,,,,40.00,15.00
128827,5971.985460075058,,,59.00,350.00,1200.00,,30.00,20.00
135097,5968.845612949635,1.0,,96.00,,,0.00,88.00,9.00
138955,5968.3715880129275,,,75.00,450.00,1800.00,,40.00,10.00
139769,5972.618660259708,1.0,,55.00,800.00,3000.00,0.00,0.00,5.00
143605,5967.784225156575,1.0,0.0,55.00,351.00,1200.00,200.00,40.00,15.00
145249,5972.91314013243,,,70.00,300.00,900.00,85.00,40.00,10.00
147946,5975.118103090195,,,31.00,,,250.00,0.00,0.00
149849,5973.008054821429,1.0,,40.00,400.00,750.00,100.00,20.00,25.00
151249,5969.766184062617,1.0,,81.00,550.00,2100.00,1000.00,80.00,20.00
153015,5975.1580272151805,1.0,,52.00,367.00,1144.00,,20.00,15.00
155048,5975.032798696164,1.0,,100.00,320.00,1150.00,3000.00,80.00,100.00
156010,5971.912973983813,1.0,,36.00,,1135.00,120.00,50.00,12.00
157546,5969.774709609653,0.6,,88.00,550.00,1400.00,,40.00,40.00
157839,5971.943439823856,1.0,269.0,29.00,200.00,,100.00,20.00,15.00
158890,5970.39145313055,,54.0,100.00,,,1000.00,40.00,0.00
159454,5965.751669648343,,,161.00,850.00,2300.00,1000.00,,0.00
160517,5978.174712685383,1.0,,65.00,260.00,1100.00,500.00,65.00,8.00
161425,5974.926997139035,1.0,0.0,70.00,450.00,,200.00,60.00,25.00
163287,5968.854716361634,1.0,,29.00,300.00,800.00,500.00,20.00,15.00
163411,5970.212105698411,,,80.00,500.00,1800.00,200.00,40.00,15.00
167189,5970.723838379374,1.0,0.0,49.00,,,,15.00,0.00
168615,5979.2434041886745,1.0,,49.00,280.00,1095.00,,20.00,10.00
169603,5971.051711703196,,,59.00,,,90.00,49.00,20.00
169907,5965.213571251643,,,30.00,200.00,850.00,150.00,15.00,0.00
170582,5964.6414140970155,1.0,15.0,23.00,,,500.00,0.00,10.00
170652,5974.553640434983,1.0,,40.00,,,150.00,50.00,20.00
170974,5968.176200589597,1.0,,35.00,,,,30.00,18.00
171746,5974.7534871804855,,46.0,70.00,400.00,1280.00,0.00,50.00,30.00
173153,5973.171899266125,,1023.0,80.00,630.00,2200.00,300.00,50.00,20.00
174391,5972.793765330463,,,42.00,,,,10.00,0.00
174547,5971.264277797943,,646.0,96.00,,1450.00,500.00,100.00,30.00
174560,5971.273195802432,,,75.00,,,,30.00,15.00
174576,5971.099049300927,,,96.00,,,500.00,100.00,30.00
174579,5971.049395355731,,,76.00,,,,30.00,15.00
175667,5967.762163300855,1.0,,46.00,300.00,980.00,200.00,35.00,10.00
176342,5970.013295925412,1.0,1292.0,296.00,,,500.00,98.00,69.00
176355,5969.766144165194,1.0,1292.0,244.00,,,500.00,98.00,69.00
176396,5976.499223138749,,,20.00,,,0.00,20.00,10.00
176852,5969.83423053424,1.0,861.0,50.00,350.00,1100.00,350.00,30.00,5.00
177486,5966.123581205276,1.0,517.0,59.00,340.00,830.00,250.00,30.00,19.00
178347,5969.138253889983,,570.0,75.00,530.00,1790.00,300.00,40.00,25.00
179102,5977.090657339676,1.0,0.0,170.00,950.00,3500.00,200.00,140.00,20.00
180440,5967.942459012041,,,39.00,250.00,700.00,100.00,30.00,0.00
181160,5969.3102389066435,,0.0,39.00,,,,0.00,0.00
183206,5972.49807372694,1.0,0.0,64.00,360.00,1150.00,100.00,25.00,10.00
183918,5976.170594300644,,,35.00,140.00,1000.00,100.00,15.00,5.00
183988,5968.003801227992,1.0,463.0,100.00,500.00,1999.00,200.00,50.00,15.00
183996,5974.7889647850625,,1722.0,375.00,2400.00,6500.00,1000.00,100.00,50.00
185960,5968.719100147619,1.0,,29.00,190.00,520.00,0.00,20.00,0.00
186851,5968.022082717486,1.0,,32.00,,,960.00,0.00,0.00
186908,5962.018721122348,,678.0,45.00,315.00,960.00,100.00,30.00,25.00
186999,5961.838183549561,,1615.0,120.00,980.00,3200.00,200.00,50.00,25.00
187206,5976.295704549313,1.0,,25.00,160.00,580.00,,,0.00
187326,5961.77516119423,1.0,,59.00,350.00,1200.00,300.00,35.00,15.00
188565,5975.126456433352,1.0,,86.00,,,1800.00,50.00,20.00
188922,5973.315661757818,,,45.00,300.00,800.00,200.00,40.00,5.00
189288,5974.925960764214,,,100.00,600.00,2400.00,150.00,40.00,15.00
189596,5973.004903236168,,,80.00,500.00,2000.00,100.00,,100.00
190448,5964.761369390656,1.0,581.0,50.00,335.00,,,,10.00
191023,5971.182970568735,,527.0,49.00,250.00,700.00,250.00,10.00,25.00
192050,5977.91872167665,,,55.00,330.00,990.00,800.00,75.00,5.00
192052,5972.7827377540325,1.0,474.0,79.00,390.00,1250.00,0.00,35.00,5.00
192103,5972.770977197724,1.0,409.0,75.00,350.00,1250.00,0.00,35.00,5.00
192499,5969.517683047327,,,49.00,,,,,10.00
193625,5972.507553320813,,220.0,38.00,455.00,1285.00,,,18.00
194374,5969.485215213323,1.0,0.0,65.00,650.00,2001.00,0.00,40.00,25.00
194465,5972.835610907391,1.0,431.0,75.00,490.00,1900.00,250.00,35.00,15.00
194546,5970.774966921319,0.9,,75.00,,,,35.00,19.00
194694,5972.906607799345,1.0,,38.00,,,100.00,17.00,0.00
195467,5970.506705896975,0.5,20.0,89.00,,,200.00,30.00,7.00
196149,5973.144925669323,1.0,,74.00,595.00,,150.00,35.00,25.00
196285,5969.909239653809,1.0,,50.00,390.00,1400.00,,25.00,10.00
197291,5979.24757768069,1.0,,120.00,455.00,2015.00,100.00,,15.00
198584,5968.18531437868,0.9,,38.00,260.00,850.00,200.00,30.00,25.00
198896,5966.860921630042,,,25.00,200.00,500.00,,,10.00
200125,5959.674052626871,,646.0,89.00,476.00,2040.00,0.00,40.00,29.00
201224,5969.463397306175,1.0,,88.00,,1500.00,,49.00,30.00
203634,5974.659216568447,1.0,,125.00,750.00,2400.00,750.00,70.00,25.00
204609,5971.871137776004,0.9,0.0,49.00,180.00,550.00,100.00,20.00,15.00
204617,5968.289478291205,,161.0,50.00,,550.00,,10.00,0.00
205296,5962.413904971296,0.0,,100.00,,,,60.00,20.00
206021,5970.458349805012,1.0,258.0,35.00,190.00,395.00,385.00,50.00,35.00
206454,5973.211592467024,1.0,,70.00,400.00,,150.00,30.00,10.00
207740,5970.52385735786,,,195.00,,1900.00,500.00,75.00,0.00
208495,5972.3798377513,,753.0,150.00,,,300.00,30.00,20.00
209649,5969.034194736861,1.0,,200.00,280.00,420.00,0.00,45.00,15.00
210734,5970.951102580778,,,165.00,,,0.00,38.00,10.00
212348,5971.880084781642,1.0,,55.00,,,,30.00,0.00
214491,5971.641685670814,1.0,,35.00,292.00,800.00,0.00,30.00,30.00
214518,5969.9772329424295,1.0,,51.00,200.00,450.00,500.00,5.00,20.00
214784,5969.247475022321,1.0,172.0,35.00,210.00,700.00,,20.00,20.00
214855,5969.096480020746,,,45.00,280.00,987.00,0.00,0.00,15.00
220445,5970.466223744069,,,60.00,380.00,950.00,200.00,75.00,0.00
220808,5960.91635458313,,,45.00,,,,20.00,20.00
221015,5973.167332161751,,,75.00,,,0.00,30.00,10.00
222784,5971.798788013245,1.0,,69.00,,1099.00,500.00,60.00,10.00
223622,5972.237203593937,,,45.00,315.00,600.00,400.00,50.00,15.00
226925,5961.859908616557,,,50.00,280.00,900.00,100.00,30.00,25.00
227072,5973.722853453204,,1292.0,110.00,,,,40.00,20.00
228964,5972.521323374651,1.0,753.0,95.00,270.00,1050.00,850.00,20.00,18.00
229075,5969.748713005333,1.0,,75.00,450.00,1400.00,200.00,35.00,10.00
