entire,homeapt,private,room,shared,id
1.0,1.0,0.0,0.0,0.0,2015
0.0,0.0,1.0,1.0,0.0,2695
1.0,1.0,0.0,0.0,0.0,3176
0.0,0.0,1.0,1.0,0.0,3309
0.0,0.0,1.0,1.0,0.0,7071
1.0,1.0,0.0,0.0,0.0,9991
1.0,1.0,0.0,0.0,0.0,14325
0.0,0.0,1.0,1.0,0.0,16401
1.0,1.0,0.0,0.0,0.0,16644
0.0,0.0,1.0,1.0,0.0,17409
1.0,1.0,0.0,0.0,0.0,17904
1.0,1.0,0.0,0.0,0.0,20858
1.0,1.0,0.0,0.0,0.0,21869
1.0,1.0,0.0,0.0,0.0,22415
1.0,1.0,0.0,0.0,0.0,22677
1.0,1.0,0.0,0.0,0.0,23834
1.0,1.0,0.0,0.0,0.0,24569
1.0,1.0,0.0,0.0,0.0,25653
1.0,1.0,0.0,0.0,0.0,26543
1.0,1.0,0.0,0.0,0.0,28156
1.0,1.0,0.0,0.0,0.0,28268
1.0,1.0,0.0,0.0,0.0,28711
1.0,1.0,0.0,0.0,0.0,29279
1.0,1.0,0.0,0.0,0.0,30295
0.0,0.0,1.0,1.0,0.0,31440
1.0,1.0,0.0,0.0,0.0,33043
1.0,1.0,0.0,0.0,0.0,35642
0.0,0.0,1.0,1.0,0.0,36480
0.0,0.0,1.0,1.0,0.0,37004
1.0,1.0,0.0,0.0,0.0,37052
0.0,0.0,1.0,1.0,0.0,37836
1.0,1.0,0.0,0.0,0.0,38074
1.0,1.0,0.0,0.0,0.0,38296
0.0,0.0,1.0,1.0,0.0,40600
0.0,0.0,1.0,1.0,0.0,41217
0.0,0.0,1.0,1.0,0.0,41306
0.0,0.0,1.0,1.0,0.0,42742
1.0,1.0,0.0,0.0,0.0,42809
1.0,1.0,0.0,0.0,0.0,43123
0.0,0.0,1.0,1.0,0.0,44083
0.0,0.0,1.0,1.0,0.0,44423
0.0,0.0,1.0,1.0,0.0,46161
1.0,1.0,0.0,0.0,0.0,46172
1.0,1.0,0.0,0.0,0.0,47938
1.0,1.0,0.0,0.0,0.0,48955
1.0,1.0,0.0,0.0,0.0,52734
0.0,0.0,1.0,1.0,0.0,54952
0.0,0.0,0.0,1.0,1.0,55298
1.0,1.0,0.0,0.0,0.0,55455
1.0,1.0,0.0,0.0,0.0,55853
1.0,1.0,0.0,0.0,0.0,57049
1.0,1.0,0.0,0.0,0.0,57209
1.0,1.0,0.0,0.0,0.0,57792
1.0,1.0,0.0,0.0,0.0,58041
1.0,1.0,0.0,0.0,0.0,58780
1.0,1.0,0.0,0.0,0.0,59249
1.0,1.0,0.0,0.0,0.0,60161
0.0,0.0,1.0,1.0,0.0,63052
